country,n_train,n_test,cfi_network,cfi_big_five,cfi_acquiescence,tli_network,tli_big_five,tli_acquiescence,rmsea_network,rmsea_big_five,rmsea_acquiescence,bic_network,bic_big_five,bic_acquiescence
FR,2250,2249,0.9811527586221578,0.7444319514108454,0.7569168068446924,0.9725797260239232,0.7312696484792152,0.7441779109834608,0.0209692820884315,0.0656456611759187,0.06404963914078542,314446.651184647,322348.95616472285,321804.09963195137
GB,21720,21721,0.9973331466712415,0.7471366556216141,0.761223345092356,0.9926915093339393,0.7341136507609248,0.7487101355138626,0.01131570401483612,0.06825205751416218,0.0663521826705039,2962524.378672106,3072209.092307795,3065651.1798914005
GR,966,965,0.9498584302577093,0.7207358475717244,0.7277299728239183,0.9366768835728803,0.7063531444423712,0.7134615263825601,0.031426725518439697,0.06767537391922501,0.06685123860957465,133875.5585703549,136611.30892609063,136488.22765906714
HK,1212,1211,0.9538726410062411,0.73203203824180485,0.7672116899614685,0.9363671004872134,0.7182311131727133,0.7550123025797242,0.031570170315114374,0.06643280439051633,0.06194527794447385,164187.37849739596,167297.52095047655,166486.2027045499
HR,822,821,0.9582535227332906,0.7470552240033106,0.7660527027351095,0.9448334038277032,0.7340280252395326,0.7537925780502657,0.030711401487810097,0.0674340862912864,0.06488018936294611,113742.54587099685,115679.47114447296,115358.51991357778
ID,2465,2465,0.9662654258625843,0.7277940762838264,0.7736867072881645,0.9506863325556871,0.7137748870795599,0.7618266464158089,0.024754481304638903,0.05963813319233265,0.05440223708726185,353799.8012654268,360130.52518705575,358415.3225754412
IE,1752,1751,0.9737715171521374,0.744603763223661,0.7614766895617495,0.9632381104249065,0.7314503089690856,0.7489767566264116,0.024756703068695957,0.06691234063411257,0.0646920422953499,242819.33471989242,248759.0413556683,248162.11606914006
IN,4925,4925,0.9850720259508331,0.7352931168028898,0.7813983026218482,0.9727469922351274,0.7216601442777166,0.7699423717455017,0.018472047500516953,0.059033089263787475,0.05366932474174515,731139.7913756629,745876.131986944,742401.0009593085
IT,1907,1907,0.974543228882803,0.7359019237266744,0.7515775793428141,0.963696688453357,0.7223003060645289,0.7385588786039066,0.02371353617229886,0.06558596300653448,0.06363706597237684,263942.2934780329,270194.6505979051,269633.9742739411
MX,4156,4155,0.9720480463329477,0.7254885192049914,0.7628545404362534,0.9570374614276801,0.7113505888636176,0.750426814462552,0.02221963163606954,0.057593997694943576,0.05355386850950103,601382.381911979,612689.1521385012,610510.8989788637
